frame_class	vaf	tpm	frame_length
Hidden Frame	0.0555	0.0892001219900868	38
Gene Fusion	0.352	3.3896046356233	18
Gene Fusion	0.352	0.2676003659702605	48
Gene Fusion	0.352	0.2676003659702605	88
Gene Fusion	0.352	0.2676003659702605	91
Gene Fusion	0.352	0.4460006099504341	51
Gene Fusion	0.0931153846153846	3.5680048796034733	12
Gene Fusion	0.4235	0.0892001219900868	2
Gene Fusion	0.0931153846153846	0.8028010979107815	27
Gene Fusion	0.0931153846153846	2.5868035377125183	63
Gene Fusion	0.4235	6.333208661296165	14
Gene Fusion	0.0931153846153846	0.8028010979107815	28
Hidden Frame	0.0964999999999999	5.1736070754250365	70
Hidden Frame	0.0965	0.1784002439801736	49
Hidden Frame	0.0964999999999999	4.460006099504342	36
Hidden Frame	0.44325	0.0693000116701219	22
Hidden Frame	0.50375	1.2474002100621957	24
Gene Fusion	0.4635	8.385301412084758	10
Gene Fusion	0.4635	0.2079000350103658	49
Gene Fusion	0.3203333333333333	0.6237001050310977	21
Gene Fusion	0.552	0.0693000116701219	8
Gene Fusion	0.5605	0.1386000233402439	32
Gene Fusion	0.4635	0.8316001400414635	2
Gene Fusion	0.473	0.0693000116701219	4
Gene Fusion	0.3435	1.0395001750518296	23
Gene Fusion	0.3435	0.2079000350103658	51
Gene Fusion	0.3203333333333333	0.1386000233402439	69
Hidden Frame	0.281	0.0693000116701219	70
Gene Fusion	0.5605	0.2079000350103658	25
Gene Fusion	0.612	1.1088001867219517	6
Hidden Frame	0.3309999999999999	0.7623001283713415	30
Indel	1.0663	0.0693000116701219	15
Gene Fusion	0.403	0.0693000116701219	10
Gene Fusion	0.3203333333333333	0.2079000350103658	64
Hidden Frame	0.50375	0.4158000700207317	22
Hidden Frame	0.051	0.054648260840958	10
Hidden Frame	0.41325	0.027324130420479	58
Gene Fusion	0.4425	0.2459171737843111	5
Hidden Frame	0.4925	0.32788956504574807	1
Hidden Frame	0.319	0.6011308692505384	24
Gene Fusion	0.319	0.1912689129433531	23
Hidden Frame	0.319	0.054648260840958	17
Hidden Frame	0.3485	0.054648260840958	10
Gene Fusion	0.319	4.535805649799517	22
Gene Fusion	0.319	3.5521369546622727	12
Hidden Frame	0.5609999999999999	0.027324130420479	28
Hidden Frame	0.3188333333333333	1.3662065210239511	20
Hidden Frame	0.3188333333333333	0.3278895650457482	52
Hidden Frame	0.3188333333333333	0.2185930433638321	55
Hidden Frame	0.3188333333333333	0.9290204342962868	30
Hidden Frame	0.3188333333333333	0.9290204342962868	66
Gene Fusion	0.319	25.438765421465966	14
Hidden Frame	0.5395	0.027324130420479	2
Hidden Frame	0.3188333333333333	0.8743721734553287	48
Hidden Frame	0.3971666666666666	2.595792389945507	1
Gene Fusion	0.319	0.3005654346252692	5
Hidden Frame	0.3188333333333333	0.7377515213529335	17
Gene Fusion	0.304	0.4645102171481433	2
Hidden Frame	0.319	3.3608680417189194	20
Hidden Frame	0.319	0.6831032605119755	12
Hidden Frame	0.319	2.486495868263591	44
Gene Fusion	0.33475	0.1366206521023951	153
Hidden Frame	0.3188333333333333	0.027324130420479	5
Hidden Frame	0.3485	0.109296521681916	29
Hidden Frame	0.3485	0.1639447825228741	55
Gene Fusion	0.322	0.054648260840958	12
Indel	0.5081	0.027324130420479	25
Indel	0.5081	0.054648260840958	23
Hidden Frame	0.5395	0.1366206521023951	10
Gene Fusion	0.322	0.1366206521023951	5
Hidden Frame	0.319	0.027324130420479	11
Hidden Frame	0.37325	0.1366206521023951	3
Hidden Frame	0.3188333333333333	0.2185930433638321	2
Hidden Frame	0.319	0.054648260840958	86
Hidden Frame	0.319	2.896357824570776	97
Hidden Frame	0.319	2.2405786944792796	4
Gene Fusion	0.322	0.081972391261437	90
Hidden Frame	0.319	0.027324130420479	23
Hidden Frame	0.41325	1.9946615206949685	37
Gene Fusion	0.322	0.6831032605119755	1
Hidden Frame	0.3188333333333333	0.1912689129433531	34
Hidden Frame	0.3188333333333333	0.027324130420479	37
